05.06.98-exp-1	هی … اسباب‌بازی
05.06.98-exp-697	نه ، تو نباید خودت رو با اون مقایسه کنی .
05.06.98-exp-698	آره اما فکر کنم منم استعداد اونو دارم . مگه نه ؟
05.06.98-exp-699	داری بهتر می‌شی ، بهتره این‌طور فکر کنی .
05.06.98-exp-7	این فکر برادرزاده‌هات بود ؟
05.06.98-exp-70	چه چیزی ؟
05.06.98-exp-701	این اولین باره که اون بچه ، این بازی رو می‌کنه ؟
05.06.98-exp-702	اون واقعاً برادرزاده‌ی پدرته . مگه نه ؟
05.06.98-exp-703	پدرم نه
05.06.98-exp-704	اون برادرزاده‌ی مادرمه
05.06.98-exp-705	اون برای چیه ؟ هان ؟
05.06.98-exp-706	این برای … این برای تشویقه
05.06.98-exp-707	تشویق ؟ روی اون نوشته « ک »
05.06.98-exp-708	بجنبین ، بیاین یه نفسی تازه کنین
05.06.98-exp-709	ما با هم دوست شدیم
05.06.98-exp-71	یه چیز خیلی باحال که شما سرتون نمی‌شه
05.06.98-exp-710	اون چیه ؟ چی چیه ؟
05.06.98-exp-711	این چیه ؟
05.06.98-exp-712	هیچی . این یه جام قدیمیه که به‌خاطر قهرمان شدنم جایزه گرفتم
05.06.98-exp-713	من باید به یه مهمونی کتاب‌خوانی تو لونه‌ی یکی از حیوون‌ها در مزرعه‌ی تنباکو پایین تپه برم
05.06.98-exp-714	من و کایلی سری به اون‌جا می‌زنیم
05.06.98-exp-715	منتظرم نمون . کتاب چیه ؟
05.06.98-exp-716	یه سرگذشته ، یه نسخه‌اش رو با امضای نویسنده برات می‌گیرم
05.06.98-exp-717	معرکه بود
05.06.98-exp-719	من چند تا جای ورود مخفی
05.06.98-exp-72	مثل خوابیدن ؟
05.06.98-exp-720	زیر در پشتی زیرزمین مخفی شراب سیب دیدم
05.06.98-exp-721	ما می‌خوایم دزدکی وارد خونه بین بشیم ؟ زیرزمینش
05.06.98-exp-722	جایی که زندگی می‌کنه ؟ جایی که شرابش رو نگه می‌داره
05.06.98-exp-723	زیر اون‌جایی که اون زندگی می‌کنه ، تو از کجا پیدات شد ؟
05.06.98-exp-724	برگرد خونه و تکالیفت رو انجام بده
05.06.98-exp-725	می‌خوام کمکت کنم شراب سیب بدزدی . ما داریم به یه مراسم کتاب‌خوانی می‌ریم
05.06.98-exp-726	دهنت رو راجع به شراب سیب بسته نگه دار . چون هیچ‌کس در موردش چیزی نگفته .
05.06.98-exp-727	حالا گم شو اما …
05.06.98-exp-728	اما بی اما ! می‌خوای منو به دردسر بندازی
05.06.98-exp-729	بله ، تو خیلی بچه و ناهم‌آهنگی
05.06.98-exp-73	این‌ها که پیژامه نیستن
05.06.98-exp-730	این بچه از کدوم گوری پیداش شد ؟
05.06.98-exp-731	باورت می‌شه ؟ اون چه‌طوری از قضیه بو برده ؟
05.06.98-exp-732	فکر می‌کنی اون ما رو لو می‌ده ؟
05.06.98-exp-733	از حالا به بعد می‌تونی هر از گاهی یه علامتی بهم بدی
05.06.98-exp-734	که بفهمم فهمیدی چی بهت گفتم
05.06.98-exp-735	یکی دیگه هم اومد
05.06.98-exp-736	آفرین ، موفق شدی .
05.06.98-exp-737	کسی تو رو ندید ؟ فکر نکنم
05.06.98-exp-738	بگیر ، این کلاه رو سرت بذار
05.06.98-exp-739	باید بگم : خوش‌حالم که دعوتم کردین .
05.06.98-exp-740	ولی مطمئن نیستم باید این کارو بکنم ، دایی روباه .
05.06.98-exp-741	چون نمی‌خوام با مردم صادق نباشم .
05.06.98-exp-742	حرفی نزن و مشکلی هم پیش نمی‌آد
05.06.98-exp-743	اما فکر نکنم لازم باشه اون با ما بیاد
05.06.98-exp-744	برای این کار رأی‌گیری نمی‌کنیم
05.06.98-exp-745	می‌دونی … یه بار یه گرگ دیدم
05.06.98-exp-746	چیه همه‌ش درباره‌ی گرگ حرف می‌زنی ؟
05.06.98-exp-747	می‌شه برای یه بار هم که شده ، بی خیالش شی ؟
05.06.98-exp-748	ما که به‌خاطر آب سیب این‌جا نیومدیم
05.06.98-exp-749	این قوی‌ترین و بهترین شراب سیبی‌ست که با پول می‌شه خرید
05.06.98-exp-75	آروم بگیر ، ماهی !
05.06.98-exp-750	یا بهتره بگیم : می‌شه دزدید
05.06.98-exp-76	برگرد پایین ، پسر !
05.06.98-exp-77	موفق شدیم . یالا بچه‌ها ، بیاین بریم .
05.06.98-exp-78	گوش کن : پس بقیه‌ی افرادی که شیرینی سفارش داده بودن چی می‌شن ؟
05.06.98-exp-79	زندگی پر از ناامیدیه
05.06.98-exp-8	بسیار خب ؛ وقت خوابه
05.06.98-exp-80	زندگی بعضی‌ها
05.06.98-exp-81	دیگه این کارو نکن !
05.06.98-exp-82	شهربازی خل‌وچل‌ها . می‌شه بریم اون‌جا ؟ تو رو خدا ؟
05.06.98-exp-83	اما ما هیچ‌وقت اون‌جا نرفتیم . اون‌جا باحال‌ترین جای دنیاست .
05.06.98-exp-84	برام مهم نیست
05.06.98-exp-85	تو رو خدا !
05.06.98-exp-86	ما دیگه هیچی ازت نمی‌خوایم
05.06.98-exp-87	خواهش می‌کنیم ، تو رو خدا !
05.06.98-exp-88	یه ایده‌ی معرکه !
05.06.98-exp-89	خوش بگذره
05.06.98-exp-9	نه ، شما دو تا
05.06.98-exp-90	ببخشید رفیق ! بدون یه بزرگسال نمی‌تونن سوار اون بشن
05.06.98-exp-91	چی ؟ خدای من !
05.06.98-exp-92	اون اسب تک‌شاخ پشمالو رو نگا
05.06.98-exp-93	اون‌قدر خوش‌گله که براش می‌میرم
05.06.98-exp-94	باید اجازه بدی بازی کنیم تا اون رو برنده بشیم
05.06.98-exp-95	اون اسب تک‌شاخ پشمالو چنده ؟
05.06.98-exp-96	اون فروشی نیست
05.06.98-exp-97	اما برای به دست آوردنش باید به اون سفینه‌ی اون‌جا بزنین
05.06.98-exp-98	خیلی آسونه
05.06.98-exp-99	آماده ؟ شروع کنین !
06.06.98-exp-1	گلوتو می‌سوزونه . دلت رو به جوش می‌آره .
06.06.98-exp-10	منظورت همسرمه ؟
06.06.98-exp-100	زمین رو بکنین
06.06.98-exp-101	یک ساعت روباهی بعد
06.06.98-exp-102	فکر کنم الآن وقتشه که استراحتی کنیم و درباره‌ی بعضی چیزها حرف بزنی
06.06.98-exp-103	مدت‌ها پیش … می‌تونیم دو کلمه حرف خصوصی بهم بزنیم ؟
06.06.98-exp-104	ما الآن توی یه سوراخ‌ایم
06.06.98-exp-105	درست اون سمت معدن
06.06.98-exp-106	دنبالم بیا
06.06.98-exp-107	الآن دارم عصبانی می‌شم
06.06.98-exp-108	کی ؟ همین الآن
06.06.98-exp-109	خب ، وقتی … وای ! خدای من !
06.06.98-exp-11	زمان خودش اون هرزه‌ی شهر بود
06.06.98-exp-110	دوازده سال روباهی پیش ، تو یه قولی بهم دادی .
06.06.98-exp-111	وقتی توی اون تله‌ی روباه افتاده بودیم ، تو قول دادی اگه زنده موندیم
06.06.98-exp-112	دیگه هیچ‌وقت مرغ ، غاز ، بوقلمون ، اردک و یا اسکواب ، هرچی که هستن ، نمی‌دزدی
06.06.98-exp-113	و من باور کردم . چرا بهم دروغ گفتی ؟
06.06.98-exp-114	چون من یه حیوون وحشی‌ام . تو یه همسر و یه پدر هم هستی !
06.06.98-exp-115	سعی کردم حقیقت رو درباره‌م بهت بگم
06.06.98-exp-116	من اهمیتی به حقایق تو نمی‌دم
06.06.98-exp-117	آخر این داستان ، خیلی قابل پیش‌بینیه
06.06.98-exp-118	قابل پیش‌بینی ؟ واقعاً ؟ آخرش چی می‌شه ؟
06.06.98-exp-119	آخرش ، همه‌ی ما می‌میریم
06.06.98-exp-12	وحشی و بی‌بندوبار و زیبا مثل یه لباس پوست راسو
06.06.98-exp-120	مگه این‌که تو تغییر کنی
06.06.98-exp-121	پیتی ، گوش کن
06.06.98-exp-123	بذار ببینم !
06.06.98-exp-125	سریع برسون‌شون
06.06.98-exp-126	از دستم عصبانی هستی ؟
06.06.98-exp-127	درک می‌کنم اگه باشی و بابتش متأسف‌ام
06.06.98-exp-128	اگه می‌دونستم چنین احساسی خواهی کرد ، هیچ‌وقت پسر دایی‌ات رو قاتی این ماجرا نمی‌کردم
06.06.98-exp-129	فقط به این خاطر این کارو کردم که اون یه جورایی طبیعیه .
06.06.98-exp-13	راست می‌گه ؟
06.06.98-exp-130	ببین چه‌طوری زمین رو می‌کنه
06.06.98-exp-131	به‌هرحال ، متأسف‌ام که می‌دونی چیه
06.06.98-exp-132	باید یه کم خاک تو گوشم بریزم
06.06.98-exp-133	نمی‌شنوم چی می‌گی ولی ادامه بده
06.06.98-exp-134	به‌هرحال من تیک سگی ندارم
06.06.98-exp-135	وای ، منم ندارم . اصلاً کی گفته ما …
06.06.98-exp-136	در واقع ، این چیزی بود که به همه گفتی :
06.06.98-exp-137	تیک سگی و شپش
06.06.98-exp-138	من هیچ‌وقت اینو نگفتم و تو احتمالاً اشتباهی شنیدی
06.06.98-exp-139	که من یا کسی چنین چیزی گفته باشه اما من دارم به آخرش می‌رسم
06.06.98-exp-14	البته که نه
06.06.98-exp-140	ممکنه ، شایدم نه که دیگه روشنایی روز رو نبینیم .
06.06.98-exp-141	ولی من واقعاً آگنس رو دوست دارم و فکر کنم اونم منو دوست داره
06.06.98-exp-142	عالیه ، اون آزاده . چه ربطی به من داره ؟
06.06.98-exp-143	خب ، پس چرا این‌طوری باهاش ؟ می‌تونم یه چیزی ازت بپرسم ؟
06.06.98-exp-144	بپرس ! فایده‌ی این‌که چهارزانو روی زمین می‌شینی
06.06.98-exp-145	با خودت حرف می‌زنی
06.06.98-exp-147	من و پدرم وقتی شروع کردیم به تمرین مدیتیشن که …
06.06.98-exp-148	واقعاً ؟ خب ، عالیه !
06.06.98-exp-149	اما من بیش‌تر نگران آبروت‌ام
06.06.98-exp-15	منظورم اینه که حتماً اونم زندگیشو می‌کرده
06.06.98-exp-150	بیش‌تر از این‌که تیک سگی داری یا نه ؟!
06.06.98-exp-151	ندارم . همین‌طور ، شپش هم ندارم !
06.06.98-exp-152	یکی از اون کشاورزهای شلخته ، احتمالاً الآن دم من رو به‌عنوان کراوات به گردنش زده
06.06.98-exp-153	تو توهم داری ، روباه !
06.06.98-exp-154	متشکرم ، کشاورز !
06.06.98-exp-155	اگه اشتباه می‌کنم ، لطفاً اصلاح کنید :
06.06.98-exp-156	شما با موفقیت این‌جا رو نابود کردین ولی روباه رو نه
06.06.98-exp-157	کراوات بابا رو ببین
06.06.98-exp-159	من بهت می‌گم که چی‌کار نمی‌خوایم بکنیم
06.06.98-exp-16	این مال خیلی وقت پیشه . نمی‌شه با الآن مقایسه‌ش کرد
06.06.98-exp-160	ما نمی‌خوایم بذاریم اون روباه دربره
06.06.98-exp-161	پناه بگیرین ، لطفاً همه پناه بگیرین !
06.06.98-exp-162	انفجار !
06.06.98-exp-163	چند نفر تو مزرعه‌ی تو کار می‌کنن ؟
06.06.98-exp-164	سی و پنج نفر ؟
06.06.98-exp-168	به اون‌ها اون‌قدر گرسنگی می‌دیم تا بیان بیرون و اون‌ها رو می‌کشیم
06.06.98-exp-17	خفه شو
06.06.98-exp-171	هم اکنون در موقعیتن و محل ، نابود شده . زندگی روباه رو محاصره کردن !
06.06.98-exp-172	خیلی از حیوانات دیگر هم که به نظر می‌آد زیر زمین گیر افتادن
06.06.98-exp-173	بدون هیچ غذایی در این وضعیت !
06.06.98-exp-174	اگه می‌تونستم آینده رو پیش‌بینی کنم ، یک پایان وحشت‌ناک برای این وضعیت پیش‌بینی می‌کردم .
06.06.98-exp-175	اما ما در صحنه می‌مانیم و از نزدیک شاهد ماجرا هستیم
06.06.98-exp-176	تا ببینیم چه اتفاقاتی خواهد افتاد
06.06.98-exp-177	این یه وضعیت ناجور برای همه‌مون می‌شه
06.06.98-exp-178	دو و نیم هفته روباهی
06.06.98-exp-179	یه روباه ، بدون آب و غذا چه‌قدر دووم می‌آره ؟
06.06.98-exp-18	نزدیک بود ، موش خرما
06.06.98-exp-180	خب ، من فقط به‌عنوان یه صاریغ می‌تونم جواب بدم .
06.06.98-exp-181	اما فکر نکنم بتونم بیش‌تر از دو ساعت دیگه دووم بیارم
06.06.98-exp-182	قبل از این‌که تمام آب بدنم از دست بره و از گرسنگی بمیرم
06.06.98-exp-183	اون چیه ؟
06.06.98-exp-184	صداتون در نیاد
06.06.98-exp-185	از ترس زهره ترک‌مون کردین
06.06.98-exp-186	یه عالمه حیوون خوب احتمالاً خواهند مرد
06.06.98-exp-187	به‌خاطر تو
06.06.98-exp-188	ما سه روزه که داریم زمین رو می‌کنیم
06.06.98-exp-189	نصف جنگل نابود شده ، هیچ‌کس نمی‌تونه فرار کنه
06.06.98-exp-19	من مراقبم مثل …
06.06.98-exp-190	همین الآن زن من ته یه معدن سنگ مخفی شده
06.06.98-exp-192	من فقط می‌خوام کمی روشنایی روز رو ببینم
06.06.98-exp-193	اما تو یه موش کوری ، فیل !
06.06.98-exp-195	از زبون‌بازی‌هات خسته شدم . ما هم حقی داریم .
06.06.98-exp-196	ما تو رو دوست نداریم و از پدرت هم متنفریم .
06.06.98-exp-197	حالا یه خورده گل بردار ، تو دهنت بجو و قورتش بده .
06.06.98-exp-198	من گل نمی‌خورم ، لعنتی ! چرا ، می‌خوری .
06.06.98-exp-199	این کارو نکن
06.06.98-exp-2	مزه‌اش دقیقاً مثل طلای مذابه
06.06.98-exp-20	چند تا بطری بیارم ؟
06.06.98-exp-200	چرا کفش‌هات رو از پات درآوردی ؟
06.06.98-exp-201	چون نمی‌خوام دماغت بشکنه وقتی یه لگد بهش زدم
06.06.98-exp-202	خودم می‌تونم از خودم دفاع کنم
06.06.98-exp-203	نه ، نمی‌تونی
06.06.98-exp-204	اون کشاورزها دست برنمی‌دارن
06.06.98-exp-205	تا زمانی که تو و همه‌ی اعضای خانواده‌ات رو به یه چوب میخ‌تون کنن
06.06.98-exp-206	درحالی‌که چشماتون از حدقه دراومده
06.06.98-exp-207	این موضوع کمی شخصی شد
06.06.98-exp-208	یه لحظه بهم فرصت بده
06.06.98-exp-209	من یه فکری دارم
06.06.98-exp-210	چیه ؟ فکر خوبیه
06.06.98-exp-211	بسپرش به ما . می‌تونه زندگی ما رو نجات بده .
06.06.98-exp-212	بگو چه فکری داری
06.06.98-exp-213	بذار امتحان کنیم
06.06.98-exp-214	به معدن سنگ برو به خانم گورکن و بقیه بگو : کمک تو راهه
06.06.98-exp-215	کمک تو راهه ؟
06.06.98-exp-216	واقعاً امیدوارم
06.06.98-exp-217	می‌دونم چه احساسی داره متفاوت باشی
06.06.98-exp-218	من متفاوت نیستم . هستم ؟
06.06.98-exp-219	همه‌ی ما هستیم
06.06.98-exp-220	خصوصاً اون
06.06.98-exp-221	اما این یه جورایی شگفت‌انگیزه . مگه نه ؟
06.06.98-exp-222	نه برای من . من ترجیح می‌دم یه قهرمان باشم
06.06.98-exp-223	آقایون ! این بار باید در یه جهت خیلی خاص زمین رو بکنیم
06.06.98-exp-224	من لرزش رو خوب تشخیص می‌دم
06.06.98-exp-225	شروع کنین
06.06.98-exp-226	یک ساعت انسانی بعد
06.06.98-exp-227	بجنبین !
06.06.98-exp-228	دقیقاً وسطش دراومدیم . می‌بینین چه‌قدر شگفت‌انگیزه ؟
06.06.98-exp-229	بذارین براتون یه افسانه تعریف کنم ، درباره‌ی یه روباه کوچیک و زیبا
06.06.98-exp-230	اون رفیق باشکوهی بود ، پر از هوش و زیبایی و وقار .
06.06.98-exp-231	مثل همه‌ی موجودات که برای زندگی‌شون نیازهایی دارن
06.06.98-exp-232	اون دزدی می‌کرد ، کلک می‌زد و دروغ می‌گفت .
06.06.98-exp-233	حالا بذار یه چیزی بگم که بهتر بفهمی
06.06.98-exp-234	سه تا دهاتی به اسم بوگیس ، بونس و بین ، در میان دره زندگی می‌کردن
06.06.98-exp-235	حالا این سه تا خر دیوونه دنبال قهرمان ما افتاده بودن
06.06.98-exp-236	با یه تفنگ شکاری ، دم روباه ما رو کندن .
06.06.98-exp-237	اما روباه کوچولوی ما ، خیلی زرنگ‌تر از این چیزها بود
06.06.98-exp-238	به سرعت یه بیل مکانیکی ، زمین رو سوراخ کرد
06.06.98-exp-239	حالا اون سه تا کشاورز ، تو گودالی که یه زمانی یه تپه بود ، نشستن
06.06.98-exp-240	آواز می‌خونن
06.06.98-exp-241	تا اون‌جایی که می‌دونم ، اون‌ها هنوز همون‌جا نشستن
06.06.98-exp-242	چی داری می‌خونی ؟
06.06.98-exp-243	فقط داشتیم وقت‌مون رو می‌گذروندیم
06.06.98-exp-244	متن آوازت خیلی ضعیف بود
06.06.98-exp-245	تو آواز بدی نوشتی
06.06.98-exp-246	معدن سنگ چخماق گورکن . کمپ پناهندگان .
06.06.98-exp-247	ما همه‌چیز رو برداشتیم
06.06.98-exp-248	اون‌ها همه‌چیز رو برداشتن ؟
06.06.98-exp-249	دوباره باهات تماس می‌گیرم
06.06.98-exp-25	لعنتی ، اون کوره ؟
06.06.98-exp-250	خب ، اون‌ها الآن می‌تونن هرجایی باشن . اون‌ها دقیقاً زیر پای ما رو کندن .
06.06.98-exp-251	خب ، در این حالت ، ما فقط وضعیت رو بدتر کردیم
06.06.98-exp-252	باید می‌کشیدیم کنار
06.06.98-exp-253	من یه فکری دارم
06.06.98-exp-254	من نمی‌فهمم ، کسی میهمونی گرفته ؟
06.06.98-exp-255	من هنوز نمی‌فهمم اما یه مشکلی دارم
06.06.98-exp-256	اون اردک‌ها رو تکه‌تکه کنین . اون مرغ‌ها رو بیارین
06.06.98-exp-257	یه کم آروم‌تر . ما یه کم وقت داریم .
06.06.98-exp-258	سیب‌ها کجان ؟ هنوز بیرونن ؟ اون‌ها هنوز پخته نشدن ؟
06.06.98-exp-259	خوردشون کن . بیارشون به آشپزخونه
06.06.98-exp-26	فکر کنم چشماش دوربین بود
06.06.98-exp-261	می‌دونی ؟ دنیا که به آخر نرسیده
06.06.98-exp-262	اما روباه ! چه‌قدر تحقیرآمیزه ! دمت رو کاملاً از دست دادی
06.06.98-exp-263	می‌شه بی‌خیالش بشی ؟
06.06.98-exp-264	آره ، این واقعاً خیلی خوب و جالبه
06.06.98-exp-265	اونا می‌گن تو طبیعی هستی . درسته یا غلط ؟
06.06.98-exp-266	من فقط … جواب سؤال رو بده !
06.06.98-exp-267	فکر کنم درسته ، درسته
06.06.98-exp-269	یه لحظه صبر کن . اون مهم نیست . می‌رم که با بقیه حرف بزنم .
06.06.98-exp-27	شایدم آب مروارید داره
06.06.98-exp-270	داشتم به یه چیز جالب که باید انجام بدم ، فکر می‌کردم .
06.06.98-exp-271	اما نمی‌تونم به تنهایی انجامش بدم
06.06.98-exp-272	علاقه‌ای ندارم . بذار تا آخرش بگم .
06.06.98-exp-273	نه ، ممنون !
06.06.98-exp-274	فکر می‌کردم روباه‌های طرف شما ، ریسک‌های بی‌خودی می‌کنن
06.06.98-exp-275	فقط چون شجاعت تو خون اون‌هاست
06.06.98-exp-276	مثل ما
06.06.98-exp-277	یه کم خشن صحبت نکردم ؟
06.06.98-exp-278	حتماً چیزی گفتم که نباید می‌گفتم . می‌رم از دلش درمی‌آرم
06.06.98-exp-279	اون فکر جالبت چی بود به‌طور کلی ؟
06.06.98-exp-28	به‌هرحال ، چشماش خوب نمی‌دید
06.06.98-exp-280	ما می‌خوایم دم پدرم رو پس بگیریم
06.06.98-exp-281	بسیار خب ، رئیس ! شروع می‌کنیم .
06.06.98-exp-282	لازم بود از این سختی‌ها بگذریم ، تا آخر سر
06.06.98-exp-283	همگی دعوت منو قبول کنین و شام رو دور هم ، در این معدن سنگ بخوریم .
06.06.98-exp-284	اما فکر می‌کنم ما …
06.06.98-exp-285	فکر می‌کنم دعوت‌نامه‌ی من رو پست نکردین
06.06.98-exp-286	کسی می‌دونه گورکن چی داره می‌گه ؟
06.06.98-exp-287	هی ، صبر کنین
06.06.98-exp-288	اما کلاً درست می‌گه . جدی می‌گم .
06.06.98-exp-289	فکر کنم همگی ما باید از این سه تا کشاورز زشت برای یه چیز متشکر باشیم
06.06.98-exp-29	اون بچه کاملاً طبیعیه . مگه نه ؟
06.06.98-exp-290	که به یادمون آورد که مراقب و سپاس‌گزار هم باشیم
06.06.98-exp-291	بذارین تکرار کنم : مراقب !
06.06.98-exp-292	من احساس امنیت نمی‌کنم ، چون امنیت نداریم .
06.06.98-exp-293	بهتره کلاه دزدی رو سرت بذاری
06.06.98-exp-294	من کلاه دزدی ندارم ولی با جوراب برای خودم درست کردم
06.06.98-exp-295	خوش‌گل شدیم .
06.06.98-exp-296	حالا تو اون دم جایزه رو کجا می‌ذاشتی ؟
06.06.98-exp-297	اگه یه کلکسیونر اون‌ها بودی و سرگرمی‌ات اون بود ؟
06.06.98-exp-298	احتمالاً بالای طاق‌چه آویزونش می‌کردم
06.06.98-exp-299	در واقع این بوی چیه ؟
06.06.98-exp-3	شماها به این‌جا تجاوز کردین ، به‌طور غیرقانونی
06.06.98-exp-30	خوش‌حالم که شماها اومدین . دوست داشتم شما رو ببینم
06.06.98-exp-300	هیچ‌وقت یکی از شیرینی‌های زنجبیل وسیب خانم بین رو خوردی ؟
06.06.98-exp-301	خب ، نه تا حالا
06.06.98-exp-302	هنوز گرم هستن
06.06.98-exp-303	اشتباه کردیم .
06.06.98-exp-304	اون بالای طاق‌چه نیست .
06.06.98-exp-305	اون کراوات
06.06.98-exp-306	صبر کن ، من بیش‌تر می‌خوام
06.06.98-exp-307	اون این‌جاست . اون نمی‌تونه ببینه .
06.06.98-exp-308	به هم‌دیگه نگاه کنین . ما این‌جاییم .
06.06.98-exp-309	من هنوز خیلی نخوردم ولی احساساتی شدم .
06.06.98-exp-31	هر دوی شما خیلی خوب به نظر می‌آین
06.06.98-exp-310	اما می‌خوام یه چیزی بگم که هیچ‌کس نمی‌خواد تأییدش کنه .
06.06.98-exp-311	اما فکر می‌کنم احتمالاً درسته .
06.06.98-exp-312	ما اون‌ها رو شکست دادیم
06.06.98-exp-313	ما اون کشاورزها رو شکست دادیم و حالا فاتحانه داریم
06.06.98-exp-314	مرغ‌های بریان و اردک‌های کبابی و بوقلون‌های آب‌دارشون رو می‌خوریم
06.06.98-exp-315	بچه‌ها کجان ؟ چیا کجا ؟
06.06.98-exp-316	خدای من ، این دیوونگیه ! نمی‌تونم اتفاقی که الآن افتاد رو باور کنم .
06.06.98-exp-317	بجنبین . بیاین از این‌جا بریم بیرون . بیاین بریم .
06.06.98-exp-318	ما کجاییم ؟
06.06.98-exp-319	دوباره چی شنیدم ؟ چی شده ؟
06.06.98-exp-32	فکر کنم حسابی حالت خوبه
06.06.98-exp-320	هنوز هذیون می‌گم ؟
06.06.98-exp-321	شراب سیب ؟
06.06.98-exp-322	الآن چی شد ؟
06.06.98-exp-323	یه چیزی با شراب سیب . خطرناک بود .
06.06.98-exp-324	کسی صدمه ندیده ؟ همه‌ی ما صدمه دیدیم .
06.06.98-exp-325	تمام معدن سنگم نابود شد .
06.06.98-exp-326	آب سیب ، سیلاب آب سیب !
06.06.98-exp-327	بیاین یه سرشماری کنیم ، همه یار بگیرن
06.06.98-exp-328	بچه‌ها کجا رفتن ؟
06.06.98-exp-329	من این‌جام !
06.06.98-exp-33	همه‌چیز مرتبه ؟
06.06.98-exp-330	دوستت کجاست ؟
06.06.98-exp-331	اون کجاست ؟
06.06.98-exp-332	نمی‌دونم . چرا ؟
06.06.98-exp-333	گمش کردم . گمش کردی ؟
06.06.98-exp-334	من … من توی آشپزخونه بودم . کجا بودی ؟!
06.06.98-exp-335	می‌خواستیم اون کراوات رو پیدا کنیم . چی داری می‌گی ؟
06.06.98-exp-336	تقصیر من بود .
06.06.98-exp-337	از کجا این شیرینی زنجبیل و سیب رو آوردی ؟
06.06.98-exp-338	چرا اون کلاه دزدها رو سرت گذاشتی ؟
06.06.98-exp-339	می‌خواستیم دمت رو بدزدیم
06.06.98-exp-34	مشکل روباه داشتین ؟
06.06.98-exp-340	ببندینش و با یه تکه روزنامه بندازیدش توی یه جعبه که بالاش چند تا سوراخ باشه
06.06.98-exp-341	این کانال فقط یه راه خروج داره که درش حسابی محکمه
06.06.98-exp-342	یه ماشین استیشن روش ایستاده
06.06.98-exp-343	که معنی‌اش اینه که ما برای همیشه این پایین گیر افتادیم
06.06.98-exp-344	هنوز فکر می‌کنی شکست‌شون دادیم ، روباه ؟
06.06.98-exp-345	گورکن درست می‌گه
06.06.98-exp-346	این کشاورزها تا منو نگیرن دست بر نمی‌دارن
06.06.98-exp-347	من نباید بهت دروغ می‌گفتم
06.06.98-exp-348	نباید به این کار معتاد می‌شدم و یواشکی از اون‌جا مرغ می‌دزدیدم
06.06.98-exp-349	نباید این‌قدر اون کشاورزها رو اذیت می‌کردم و اون‌ها رو خجالت‌زده می‌کردم
06.06.98-exp-35	شوخی می‌کنی ؟ وحشت‌ناک بود .
06.06.98-exp-350	و سربه‌سرشون می‌ذاشتم
06.06.98-exp-351	خیلی از این کار لذت بردم ولی نباید این کارو می‌کردم
06.06.98-exp-352	حالا فقط یه راه خروج داریم
06.06.98-exp-353	شاید اگه خودم رو تسلیم اون‌ها کنم و بذارم اون‌ها منو بکشن
06.06.98-exp-354	با کاه بدنم رو پر کنن و بالای طاق‌چه آویزونم کنم …
06.06.98-exp-355	تو چنین کاری نمی‌کنی
06.06.98-exp-356	عزیزم ! ممکنه اون‌ها اجازه بدن بقیه زنده بمونن
06.06.98-exp-357	چرا ما رو تو چنین وضعی انداختی ، روباه ؟
06.06.98-exp-358	نمی‌دونم ولی یه نظریه دارم
06.06.98-exp-359	فکر کنم این رو از جایی دارم که دوست دارم همگی فکر کنن
06.06.98-exp-36	بدبخت شدیم ، اون داره به ما می‌خنده
06.06.98-exp-360	من بزرگ‌ترین روباه شگفت‌انگیز هستم
06.06.98-exp-361	اگه اون‌ها حسابی شکست خورده و گیج نشن و یه جورایی ازم نترسن
06.06.98-exp-362	اون موقع من احساس خوبی نسبت به خودم نخواهم داشت
06.06.98-exp-363	روباه‌ها به‌طور سنتی دوست دارن که به دنبال خطر برن ، به شکار برن
06.06.98-exp-364	از شکارچی‌ها پیشی بگیرن و این همون چیزیه که من توش خیلی ماهرم
06.06.98-exp-365	فکر می‌کنم در پایان روز ، من فقط …
06.06.98-exp-366	می‌دونم … ما حیوون‌های وحشی هستیم
06.06.98-exp-367	فکر می‌کنم همیشه بودیم
06.06.98-exp-368	بهت قول می‌دم که اگه قرار باشه همه‌ی این کارها رو دوباره انجام بدم
06.06.98-exp-369	هیچ‌وقت ناراحتت نمی‌کنم
06.06.98-exp-37	ما تحقیر شدیم . ما عصبانی هستیم .
06.06.98-exp-370	همیشه وقتی کارها رو با هم می‌کنیم ، بیش‌تر حال می‌کنم
06.06.98-exp-371	دوستت دارم . منم دوستت دارم .
06.06.98-exp-372	اما نباید با تو ازدواج می‌کردم
06.06.98-exp-373	هیچ‌وقت بهت درباره‌ی وقتی که فهمیدم یه توله خواهیم داشت ، چیزی گفتم ؟
06.06.98-exp-374	وقتی که توی تله‌ی روباه بودی .
06.06.98-exp-375	به‌سمت ما نشونه گرفته بودن . بعد مادرت گفت … اون گفت که حامله است .
06.06.98-exp-376	بذار من بگم . باشه ؟
06.06.98-exp-377	من هیچ فکری نداشتم که چه‌طور از اون وضعیت خلاص بشیم .
06.06.98-exp-378	بعدش این فکر تو ذهنم جرقه زد : روباه‌ها چه کاری رو بهتر از همه‌ی حیوون‌ها بلدن ؟
06.06.98-exp-379	کندن زمین ! تو باز وسط حرفم پریدی ؟
06.06.98-exp-380	درسته ، ادامه بده .
06.06.98-exp-381	پس شروع کردیم به کندن و تمام مدت ، من همین‌طور پنجه می‌زدم .
06.06.98-exp-382	خاک و سنگ رو می‌کندم و مادرت پشت سرم مثل دیوونه‌ها زمین رو می‌کند .
